day,starting_equity,ending_equity,pnl,pnl_pct,trades,wins,losses,kill_switch
2026-05-07,97267.77,101199.37,3931.60,4.0420,4,2,2,
2026-05-08,101187.50,105762.66,4575.16,4.5215,4,3,1,
2026-05-11,105752.99,98269.39,-7483.60,-7.0765,4,1,3,
2026-05-12,98237.46,102125.70,3888.24,3.9580,4,3,1,
2026-05-13,102109.08,107966.36,5857.28,5.7363,4,2,2,
2026-05-14,107956.86,112398.98,4442.12,4.1147,4,3,1,
2026-05-15,112387.85,112387.85,0.00,0.0000,0,0,0,
2026-05-20,113627.55,123031.91,9404.36,8.2765,4,2,2,
2026-05-21,123015.46,113316.14,-9699.32,-7.8846,4,1,3,
2026-05-22,113305.79,104219.19,-9086.60,-8.0195,3,0,3,
2026-05-25,104207.04,104207.04,0.00,0.0000,0,0,0,
2026-05-26,104207.04,107914.12,3707.08,3.5574,3,2,1,
2026-05-27,107907.16,117429.00,9521.84,8.8241,4,3,1,
2026-05-28,117417.47,118180.67,763.20,0.6500,4,2,2,
2026-05-29,118166.82,105039.14,-13127.68,-11.1094,4,0,4,
2026-06-02,105026.87,97386.51,-7640.36,-7.2747,4,1,3,
2026-06-03,97370.45,86368.97,-11001.48,-11.2986,4,0,4,
2026-06-04,86359.71,93328.99,6969.28,8.0701,4,3,1,
2026-06-05,93313.67,96765.83,3452.16,3.6995,4,2,2,
2026-06-08,96753.20,86139.44,-10613.76,-10.9699,4,0,4,
2026-06-09,86129.77,86392.25,262.48,0.3047,4,2,2,
2026-06-10,86384.35,80005.03,-6379.32,-7.3848,4,1,3,
2026-06-11,79998.85,80501.97,503.12,0.6289,4,2,2,
2026-06-15,80493.56,80493.56,0.00,0.0000,0,0,0,
2026-06-17,80493.56,80493.56,0.00,0.0000,0,0,0,
2026-06-18,80493.56,71767.72,-8725.84,-10.8404,4,0,4,
2026-06-24,71759.37,69345.85,-2413.52,-3.3634,4,2,2,
2026-06-25,69340.81,70427.33,1086.52,1.5669,4,2,2,
2026-06-26,70423.78,76938.54,6514.76,9.2508,4,3,1,
2026-06-29,76932.47,68593.91,-8338.56,-10.8388,4,0,4,
2026-06-30,68585.96,73487.52,4901.56,7.1466,4,3,1,
2026-07-09,73481.17,65223.89,-8257.28,-11.2373,4,0,4,
2026-07-10,65217.81,65217.81,0.00,0.0000,0,0,0,
2026-07-20,65217.81,67377.29,2159.48,3.3112,4,2,2,
2026-07-21,67371.84,60048.64,-7323.20,-10.8698,4,0,4,
